Xa,Ya,Za,Xr,Yr,Zr
-5.45,-3.1,7.56,-0.03,0,0.02
-5.44,-3.1,7.56,-0.03,0,0.02
-5.45,-3.07,7.55,-0.02,0,0.02
-5.44,-3.09,7.57,-0.03,0,0.02
-5.44,-3.11,7.53,-0.02,0,0.02
-5.44,-3.12,7.54,-0.02,0,0.02
-5.45,-3.11,7.54,-0.03,0,0.02
-5.47,-3.1,7.55,-0.03,0,0.02
-5.45,-3.09,7.54,-0.02,0,0.02
-5.46,-3.08,7.53,-0.03,0,0.02
-5.47,-3.1,7.55,-0.03,0,0.02
-5.45,-3.1,7.57,-0.03,0,0.02
-5.43,-3.11,7.52,-0.02,0,0.02
-5.47,-3.1,7.58,-0.03,0,0.02
-5.44,-3.09,7.52,-0.02,0,0.02
-5.42,-3.09,7.54,-0.02,0,0.02
-5.44,-3.09,7.55,-0.03,0,0.02
-5.46,-3.09,7.54,-0.02,0,0.02
-5.46,-3.09,7.54,-0.02,0,0.02
-5.47,-3.1,7.55,-0.03,0,0.02
-5.46,-3.1,7.57,-0.03,0,0.02
-5.44,-3.11,7.58,-0.02,0,0.02
-5.45,-3.1,7.55,-0.02,0,0.02
-5.46,-3.1,7.56,-0.03,0,0.02
-5.45,-3.08,7.56,-0.02,0,0.02
-5.43,-3.08,7.56,-0.03,0,0.02
-5.46,-3.12,7.54,-0.03,0,0.02
-5.42,-3.09,7.55,-0.02,0,0.02
-5.45,-3.1,7.54,-0.03,0,0.02
-5.45,-3.12,7.55,-0.03,0,0.02
-5.44,-3.1,7.53,-0.02,0,0.02
-5.44,-3.09,7.54,-0.03,0,0.02
-5.45,-3.1,7.55,-0.03,0,0.02
-5.44,-3.09,7.54,-0.03,0,0.02
-5.44,-3.1,7.55,-0.02,0,0.02
-5.45,-3.09,7.55,-0.03,0,0.01
-5.45,-3.1,7.55,-0.02,0,0.02
-5.45,-3.08,7.52,-0.02,0,0.02
-5.44,-3.08,7.54,-0.02,0,0.02
-5.45,-3.1,7.54,-0.02,0,0.02
-5.45,-3.11,7.51,-0.02,0,0.02
-5.45,-3.08,7.54,-0.03,0,0.02
-5.44,-3.1,7.55,-0.03,0,0.02
-5.44,-3.09,7.54,-0.02,0,0.02
-5.46,-3.1,7.56,-0.03,0,0.02
-5.46,-3.11,7.56,-0.02,0,0.02
-5.45,-3.1,7.55,-0.02,0,0.02
-5.46,-3.07,7.52,-0.03,0,0.02
-5.47,-3.1,7.58,-0.03,0,0.02
-5.47,-3.09,7.55,-0.03,0,0.02
-5.45,-3.09,7.55,-0.02,0,0.02
-5.45,-3.09,7.57,-0.03,0,0.02
-5.44,-3.11,7.55,-0.02,0,0.02
-5.46,-3.1,7.55,-0.02,0,0.02
-5.45,-3.1,7.57,-0.02,0,0.02
-5.44,-3.11,7.54,-0.02,0,0.02
-5.43,-3.1,7.55,-0.02,0,0.02
-5.43,-3.09,7.55,-0.02,0,0.02
-5.48,-3.1,7.54,-0.03,0,0.02
-5.43,-3.12,7.57,-0.02,0,0.02
-5.46,-3.1,7.54,-0.02,0,0.02
-5.45,-3.09,7.53,-0.02,0,0.02
-5.46,-3.1,7.53,-0.02,0,0.02
-5.44,-3.1,7.53,-0.02,0,0.02
-5.45,-3.1,7.55,-0.03,0,0.02
-5.44,-3.11,7.59,-0.03,0,0.02
-5.45,-3.11,7.55,-0.02,0,0.02
-5.45,-3.1,7.56,-0.03,0,0.02
-5.46,-3.11,7.54,-0.02,0,0.02
-5.45,-3.12,7.54,-0.02,0,0.02
-5.44,-3.1,7.51,-0.03,0,0.02
-5.44,-3.11,7.55,-0.03,0,0.02
-5.46,-3.08,7.54,-0.02,0,0.02
-5.44,-3.09,7.54,-0.02,0,0.02
-5.45,-3.09,7.54,-0.03,0,0.02
-5.46,-3.09,7.56,-0.02,0,0.02
-5.45,-3.12,7.54,-0.02,0,0.02
-5.48,-3.11,7.54,-0.02,0,0.02
-5.46,-3.1,7.56,-0.03,0,0.02
-5.46,-3.11,7.55,-0.02,0,0.02
-5.43,-3.08,7.55,-0.03,0,0.02
-5.45,-3.09,7.55,-0.03,0,0.02
-5.45,-3.1,7.52,-0.02,0,0.02
-5.45,-3.09,7.53,-0.02,0,0.02
-5.45,-3.08,7.56,-0.02,0,0.02
-5.43,-3.11,7.53,-0.03,0,0.02
-5.44,-3.1,7.54,-0.02,0,0.02
-5.45,-3.08,7.55,-0.03,0,0.02
-5.44,-3.11,7.56,-0.03,0,0.02
-5.43,-3.1,7.55,-0.02,0,0.02
-5.45,-3.08,7.53,-0.02,0,0.02
-5.45,-3.11,7.54,-0.03,0,0.02
-5.46,-3.09,7.53,-0.02,0,0.02
-5.45,-3.1,7.55,-0.02,0,0.02
-5.45,-3.09,7.53,-0.02,0,0.02
-5.44,-3.09,7.56,-0.03,0,0.02
-5.44,-3.09,7.54,-0.02,0,0.02
-5.47,-3.08,7.54,-0.03,0,0.02
-5.47,-3.11,7.52,-0.03,0,0.02
-5.45,-3.11,7.53,-0.02,0,0.02
-5.44,-3.1,7.55,-0.02,0,0.02
-5.46,-3.11,7.57,-0.02,0,0.02
-5.46,-3.1,7.54,-0.03,0,0.02
-5.45,-3.12,7.54,-0.02,0,0.02
-5.44,-3.11,7.55,-0.03,0,0.02
-5.45,-3.12,7.56,-0.03,0,0.02
-5.46,-3.09,7.55,-0.02,0,0.02
-5.46,-3.11,7.55,-0.02,0,0.02
-5.46,-3.08,7.55,-0.02,0,0.02
-5.45,-3.11,7.55,-0.03,0,0.02
-5.44,-3.1,7.58,-0.02,0,0.02
-5.46,-3.08,7.56,-0.02,0,0.02
-5.45,-3.09,7.55,-0.03,0,0.02
-5.45,-3.09,7.55,-0.03,0,0.02
-5.44,-3.1,7.55,-0.03,0,0.02
-5.44,-3.09,7.54,-0.03,0,0.01
-5.45,-3.12,7.53,-0.03,0,0.02
-5.44,-3.09,7.55,-0.02,0,0.02
-5.45,-3.1,7.55,-0.02,0,0.02
-5.44,-3.1,7.54,-0.03,0,0.02
-5.44,-3.09,7.56,-0.03,0,0.02
-5.44,-3.1,7.55,-0.02,0,0.02
-5.46,-3.1,7.54,-0.03,0,0.01
-5.46,-3.1,7.54,-0.03,0,0.02
-5.44,-3.11,7.52,-0.02,0,0.02
-5.45,-3.11,7.53,-0.02,0,0.02
-5.45,-3.11,7.56,-0.03,0,0.02
-5.44,-3.08,7.57,-0.03,0,0.02
-5.44,-3.08,7.57,-0.02,0,0.02
-5.45,-3.1,7.56,-0.03,0,0.01
-5.45,-3.11,7.57,-0.03,0,0.02
-5.45,-3.09,7.54,-0.02,0,0.02
-5.46,-3.11,7.53,-0.02,0,0.02
-5.46,-3.09,7.55,-0.03,0,0.02
-5.46,-3.1,7.57,-0.02,0,0.02
-5.45,-3.09,7.54,-0.02,0,0.02
-5.45,-3.08,7.55,-0.02,0,0.02
-5.46,-3.09,7.55,-0.02,0,0.02
-5.45,-3.08,7.56,-0.03,0,0.02
-5.43,-3.09,7.54,-0.02,0,0.02
-5.43,-3.1,7.54,-0.02,0,0.02
-5.46,-3.11,7.58,-0.02,0,0.02
-5.46,-3.1,7.53,-0.02,0,0.02
-5.45,-3.08,7.55,-0.02,0,0.02
-5.45,-3.09,7.54,-0.03,0,0.02
-5.47,-3.07,7.54,-0.02,0,0.02
-5.44,-3.1,7.54,-0.02,0,0.02
-5.47,-3.11,7.53,-0.03,0,0.02
-5.47,-3.11,7.55,-0.02,0,0.02
-5.44,-3.1,7.55,-0.02,0,0.02
-5.43,-3.12,7.56,-0.03,0,0.02
-5.44,-3.1,7.57,-0.03,0,0.02
-5.44,-3.09,7.53,-0.03,0,0.02
-5.45,-3.08,7.54,-0.03,0,0.02
-5.46,-3.11,7.53,-0.03,0,0.02
-5.45,-3.11,7.57,-0.03,0,0.02
-5.45,-3.1,7.53,-0.02,0,0.02
-5.44,-3.1,7.54,-0.02,0,0.02
-5.44,-3.09,7.56,-0.02,0,0.02
-5.45,-3.1,7.53,-0.03,0,0.02
-5.45,-3.1,7.52,-0.02,0,0.02
-5.46,-3.11,7.53,-0.03,0,0.02
-5.45,-3.09,7.55,-0.02,0,0.02
-5.44,-3.12,7.52,-0.02,0,0.02
-5.44,-3.09,7.53,-0.02,0,0.02
-5.42,-3.11,7.53,-0.02,0,0.02
-5.46,-3.1,7.53,-0.02,0,0.02
-5.45,-3.07,7.54,-0.02,0,0.02
-5.46,-3.09,7.54,-0.02,0,0.02
-5.45,-3.09,7.56,-0.03,0,0.02
-5.45,-3.11,7.57,-0.03,0,0.02
-5.45,-3.09,7.53,-0.02,0,0.02
-5.45,-3.11,7.53,-0.02,0,0.01
-5.47,-3.11,7.56,-0.02,0,0.02
-5.46,-3.11,7.57,-0.02,0,0.02
-5.44,-3.08,7.57,-0.02,0,0.02
